abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
beam	n.横梁；光线；电波；船宽；[计量] 秤杆vt. 发送；以梁支撑；用
bean	n. 豆；嘴峰；毫无价值的东西vt. 击…的头部n. (Bean)人名；(英) 比恩
bear	n.熊v.负担,忍受,带给,具有,挤,向
beard	n.胡须
bearing	n. [机] 轴承；关系；方位；举止v. 忍受（bear的ing形式）
beast	n. 野兽；畜生，人面兽心的人
beat	n.敲打,拍子,巡逻区域v.打,打败
beautiful	adj. 美丽的；出色的；迷人的
beauty	/ n. 美；美丽；美人；美好的东西
because	conj. 因为，由于prep. 因为某人（某事物）
become	vi. 成为；变得；变成vt. 适合；相称
bed	n. 床；基础；河底，海底vt. 使睡觉；安置，嵌入；栽种vi. 上床； 分层
bee	n. 蜜蜂，蜂；勤劳的人n. (Bee)人名；(赤几)贝埃；(东南亚国家华语)美；(英)比(女子教名Beatrix和Beatrice的昵称)
beef	n. 牛肉；肌肉；食用牛；牢骚vi. 抱怨，告发；发牢骚vt. 养；加强
beer	n. 啤酒vi. 喝啤酒n. (Beer)人名；(法、德、俄、罗、捷、瑞典)贝尔；(英、西、南非)[纺] 比尔
before	adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可
beforehand	adv. 事先；预先adj. 提前的；预先准备好的
beg	vt. 乞讨；恳求；回避正题vi. 乞讨；请求n. (Beg)人名；(德、塞、巴基)贝格
beggar	n. 乞丐；穷人；家伙vt. 使贫穷；使沦为乞丐
begin	vt. 开始vi. 开始；首先
beginner	n. 初学者；新手
beginning	n. 开始；起点v. 开始；创建（begin的ing形式）
behalf	n. 代表；利益
behave	vi. 表现；（机器等）运转；举止端正；（事物）起某种作用vt. 使守规矩；使表现得…
behavior	n. 行为，举止；态度；反应
behind	adv.在后地 prep.在...之后
being	n. 存在；生物；身心；生活，有生命；本质adj. 存在的v. 存在；在场；从事；就是；代表（be 的现在分词）
belief	n. 相信，信赖；信仰；教义
believe	vi. 信任；料想；笃信宗教vt. 相信；认为；信任
bell	n. 铃，钟；钟声，铃声；钟状物vt. 装钟于，系铃于vi. 鸣钟；成钟状鼓起
belly n. 1. 腹部 2. 胃部
belong	vi. 属于，应归入；居住；适宜；应被放置
beloved	adj. 心爱的；挚爱的n. 心爱的人；亲爱的教友
below	prep.在...下面,adv.在下,在页底
belt	n. 带；腰带；地带vt. 用带子系住；用皮带抽打vi. 猛击n. (Belt) 人名；(英、法、德、西)贝尔特
bench	n. 长凳；工作台；替补队员vt. 给…以席位；为…设置条凳n.
bend	v.弯曲,专心于,屈服n.弯曲
beneath	prep. 在……之下；（对某人来说）不够好，不相称；低于，次于n. 在下方，在底下
beneficial	adj. 有益的，有利的；可享利益的
benefit	n. 利益，好处；救济金vt. 有益于，对…有益vi. 受益，得益
berry	n. 浆果（葡萄，番茄等）vi. 采集浆果n. (Berry)人名；(法、英、德、意、葡)贝里；(匈)拜里
beside	prep. 在旁边；与……相比；紧靠；除……以外（还）；除……以外
besides	prep. 除……之外（还）adv. 况且，再说；此外，以及
best	adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西
bet	n.赌,打赌v.赌,赌钱
betray	vt. 背叛；出卖；泄露（秘密）；露出…迹象
better	adj.较好的adv.更好的,更多的,更佳的
between	prep.（空间、时间、数量等）在……之间；往返于；（表关系）两
bewilder	vt. 使迷惑，使不知所措
beyond	bi’jɔnd/ prep.在…的那边
bias	n. 偏见；偏爱；斜纹；乖离率vt. 使存偏见adj. 偏斜的adv. 偏斜地n. (Bias)人名；(法、德、葡、喀)比亚斯；(英)拜厄斯
Bible	n. 圣经
bibliography	n. 参考书目；文献目录
bicycle	n. 自行车vi. 骑脚踏车vt. 骑自行车运送
bid	vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付
big	adj. 大的；重要的；量大的adv. 大量地；顺利；夸大地n. （Big）
bike	n. 自行车；脚踏车vi. 骑自行车（或摩托车）n. (Bike)人名；(土、土库、塞)比克
bill	n. [法] 法案；广告；账单；[金融] 票据；钞票；清单vt. 宣布；开账单；用海报宣传
billion	n. 十亿；大量num. 十亿adj. 十亿的n. （Billion）（法）比利翁
bind	vi.结合；装订；有约束力；过紧vt. 绑；约束；装订；包扎；凝固n. 捆绑；困境；讨厌的事情；植物的藤蔓n. (Bind)人名；(德)宾德
biography	n. 传记；档案；个人简介
biology	n. （一个地区全部的）生物；生物学
bird	n. 鸟；家伙；羽毛球vt. 向…喝倒彩；起哄vi. 猎鸟；观察研究野鸟n. (Bird)人名；(英、西)伯德
birth	n. 出生；血统，出身；起源
birthday	n. 生日，诞辰；诞生的日子
biscuit	n. 小点心，饼干
bit	n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制 vbl.咬n.[计]位, 比特
bite	vt.咬；刺痛n. 咬；一口；咬伤；刺痛vi. 咬；刺痛abbr. 机内测试设备（Built-In Test Equipment）n. (Bite)人名；(匈)比泰
bitter	adj.苦的；痛苦的；尖刻的；充满仇恨的n. 苦味；苦啤酒adv. 激烈
bitterly	adv. 苦涩地，悲痛地，残酷地，怨恨地；极其，非常，强烈地
bizarre	adj. 奇异的（指态度，容貌，款式等）
black	n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑
blackboard	n. 黑板
blade	n. 叶片；刀片，刀锋；剑
blame	vt. 责备；归咎于n. 责备；责任；过失
blank	adj.空白的,空着的,失色的,没有表情的n.空白,美 表格
blanket	n. 毛毯，毯子；毯状物，覆盖层adj. 总括的，全体的；没有限制的vt. 覆盖，掩盖；用毯覆盖
blast	n. 爆炸；冲击波；一阵vi. 猛攻vt. 爆炸；损害；使枯萎n. (Blast) 人名；(德)布拉斯特
blaze	n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布
bleak	adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bleed	vt. 使出血；榨取vi. 流血；渗出；悲痛
blend	vt. 混合vi. 混合；协调n. 混合；掺合物
bless	vt. 祝福；保佑；赞美n. (Bless)人名；(英、意、德、匈)布莱斯
blind	adj.盲目的；瞎的adv. 盲目地；看不见地n. 掩饰，借口；百叶窗
blink v. 1. (星星)闪烁 2. (眼睛)眨眼
block	n.街区 vt.堵塞，拦阻
blood	n. 血，血液；血统vt. 从…抽血；使先取得经验n. (Blood)人名；
bloom	n. 花；青春；旺盛vt. 使开花；使茂盛vi. 开花；茂盛n. (Bloom)人名；(瑞典、西)布洛姆；(英)布卢姆
blossom	n. 花；开花期；兴旺期；花开的状态；漂亮的人v. 开花；兴旺；成功发展n. (Blossom) 布洛瑟姆（人名）
blow	n.殴打,突然的打击v.风吹,吹气于,叫,喘气
blue	n.蓝色adj.蓝色的,忧郁的,沮丧的
blunder	n. 愚蠢（或粗心）的错误，大错v. 犯大错，笨嘴笨舌；跌跌撞撞地走；误入（某地）
blunt	adj. 钝的，不锋利的；生硬的；直率的vt. 使迟钝n. (Blunt)人名；
blur n. 模糊不清的事物 v. 使模糊，使看不清楚
blush	vi. 脸红；感到惭愧n. 脸红；红色；羞愧vt. 红著脸表示；使成红色n. (Blush)人名；(英)布拉什
board	n. 董事会；木板；甲板；膳食vt. 上（飞机、车、船等）；用板盖上；给提供膳宿vi. 寄宿n. (Board)人名；(英、西)博德
boast	vt.夸口说，自吹自擂说；以有…而自豪n. 自夸；值得夸耀的事物， 引以为荣的事物vi. 自吹自擂n. (Boast)人名；(英)博斯特
boat	n. 小船；轮船vi. 划船
body	n. 身体；主体；大量；团体；主要部分vt. 赋以形体n. (Body)人名；(英、法、罗)博迪
boil	n.沸点,沸腾,疖子v.煮沸,激动
bold	adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的n. (Bold)人名；(英、德、罗、捷、瑞典)博尔德
bolt	n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑
bomb	n.炸弹 vt.轰炸
bond	n.联结，联系；公债
bone	n.骨；骨骼vt. 剔去……的骨；施骨肥于vi. 苦学；专心致志n.
bonus	n. 奖金；红利；额外津贴n. (Bonus)人名；(西、塞)博努斯
book	n.书籍；卷；账簿；名册；工作簿vt. 预订；登记n. (Book)人名； (中)卜(广东话·威妥玛)；(朝)北；(英)布克；(瑞典)博克
booklet n. 小册子
boom	n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传
boost	vt. 促进；增加；支援vi. 宣扬；偷窃n. 推动；帮助；宣扬n.
boot	n.美 (长统)靴,靴子v.导入
booth	n. 货摊；公用电话亭n. (Booth)人名；(英)布思；(德、瑞典)博特
border	n. 边境；边界；国界vt. 接近；与…接壤；在…上镶边vi. 接界；近似n. (Border)人名；(英)博德
bore	vi. 钻孔vt. 钻孔；使烦扰n. 孔；令人讨厌的人n. (Bore)人名；
boring 2  n. 钻孔，打孔
born	v.出生；出现（bear 的过去分词）adj. 天生的；出生的；天赋的； 创造的n. (Born) （美、德、爱、英、丹）博恩（人名）
borrow	vi. 借；借用；从其他语言中引入vt. 借；借用n. (Borrow)人名；
bosom	n. 胸；胸怀；中间；胸襟；内心；乳房；内部vt. 怀抱；把…藏在心中adj. 知心的；亲密的n. (Bosom)人名；(西)博索姆
boss	n. 老板；首领；工头vt. 指挥，调遣；当…的领导vi. 当首领，发号施令n. (Boss)人名；(英、法、德、西、瑞典)博斯
both	det.双方，两者pron. 双方，两者adv. 双方都，两者都；不仅…… 而且……conj. 既……且……；并；两者皆n. (Both) 博特（人名）
bother	vt. 烦扰，打扰；使……不安；使……恼怒vi. 操心，麻烦；烦恼n. 麻烦；烦恼
bottle	n. 瓶子；一瓶的容量vt. 控制；把…装入瓶中vi. （街头艺人演出后）收拢钱币
bottom	‘bɔtəm/ n.底，底部，根基
bough	n. 大树枝n. (Bough)人名；(英)博夫
bounce	v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回
bound	n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的
boundary	n. 边界；范围；分界线
bow	n.弓；蝴蝶结；鞠躬
bowel n. 1. 肠，内脏 2. 内部，深处 v. 挖……的内脏
bowl	n. 碗；木球；大酒杯vi. 玩保龄球；滑动；平稳快速移动vt. 投球； 旋转；平稳快速移动
box	n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击
boy	n. 男孩；男人n. (Boy) （美、印、法、荷）布瓦（人名）
boycott	v. 联合抵制；拒绝购买；拒绝参加n. 联合抵制n. (Boycott) 博伊科特（人名）
brace	n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持
bracket	n. 支架，墙上凸出的托架；括号；等级，范围vt. 括在一起；把…归入同一类；排除
brain	n. 头脑，智力；脑袋vt. 猛击…的头部n. (Brain)人名；(英)布雷恩
brake	n. 刹车；阻碍（物）；敞篷四轮马车；纤维捣碎机；灌木丛；欧洲蕨v. 刹车；阻碍
branch	n.树枝；分部；分科
brand	n.商标,牌子,烙印vt.打火印,污辱
brandy	n. 白兰地酒n. (Brandy)人名；(法)布朗迪
brass	n. 黄铜；黄铜制品；铜管乐器；厚脸皮；位高权重者n. （Brass）
brave	adj.勇敢的
Brazil	n. 巴西（拉丁美洲国家）
Brazilian	adj. 巴西的；巴西人的n. 巴西人
breach n. 1. 违反， 不履行 2. 绝交， 不和 3. 破洞，裂缝 v. 冲破，攻破
bread	n. 面包；生计vt. 在…上洒面包屑
breadth	n. 宽度，幅度；宽宏
break	n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变
breakdown	n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakfast	n. 早餐；早饭vi. 吃早餐vt. 为…供应早餐
breakthrough n. 1. (敌方防卫线的)突破 2. 重大发现
breast	n. 乳房，胸部；胸怀；心情vt. 以胸对着；与…搏斗
breath	n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
breathe	vi. 呼吸；低语；松口气；（风）轻拂vt. 呼吸；使喘息；流露；低声说
breed	v.(使)繁殖,教养,抚养n.品种,种类
breeze	n. 微风；轻而易举的事；煤屑；焦炭渣；小风波vi. 吹微风；逃走n.
brew v. 1. 酿造(啤酒) 2. 泡(茶)，煮(咖啡) 3. 酝酿 n. 1. 酿造物 2. (酿造饮料的)质量，品味
bribe	v. 向……行贿；诱哄（尤指小孩）n. 贿赂；（尤指用来哄小孩做事的）好处n. (Bribe) （美）布里韦（人名）
brick	n. 砖，砖块；砖形物；心肠好的人vt. 用砖砌adj. 用砖做的；似砖的n. (Brick)人名；(英、法、瑞典)布里克
bride	新娘
bridge	n. 桥；桥牌；桥接器；船桥vt. 架桥；渡过n. (Bridge)人名；(英) 布里奇
brief	adj.简短的，简洁的；短暂的，草率的n. 摘要，简报；概要，诉书vt. 简报，摘要；作…的提要n. （Brief）（英）布里夫（人名）
bright	adj. 明亮的，鲜明的；聪明的；愉快的adv. 明亮地；光明地；欢快地n. 车头灯光n. (Bright)人名；(英)布赖特
brighten	vi. 明亮；变亮；活跃；快乐高兴vt. 使闪亮；使生辉；使快乐高兴n. (Brighten)人名；(英)布赖滕
brilliant	adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
brim	n. 边；边缘；帽檐vi. 满溢；溢出vt. 使……满溢n. （Brim）
bring	vt.带来；提供；引起；使处于某种情况或境地；使朝某方向移动； 指控；强迫（自己）n. （Bring）（英、瑞典）布林（人名）
brink n. 1. (峭壁顶上的)边缘，(河流等的)边沿，边 2. 边缘 || on the brink of …濒临，正要…之际
brisk	adj.敏锐的，活泼的，轻快的；凛冽的vi. 活跃起来；变得轻快vt.
bristle	n. 刚毛；粗硬短须，胡子楂；刷子毛；猪鬃v. （毛发）竖起；发怒；被侵犯；戒备
Britain	n. 英国；不列颠
British	adj. 英国的，大不列颠及北爱尔兰联合王国的；英国人的；英联邦的；大英帝国的n. 英国人
brittle	adj. 易碎的，脆弱的；易生气的
broad	adj. 宽的，辽阔的；显著的；大概的n. 宽阔部分adv. 宽阔地n.
broadcast	n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放
broken	adj. 破碎的；坏掉的v. 折断；打碎；损坏（break的过去分词）
bronze n. 1. 青铜，古铜 2. 青铜制(艺术)品 3. 青铜色  v. (使)变成青铜色
brood	n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思
brook	n. 小溪，小河v. 容忍，允许（尤指不同意见）n. (Brook) （加、美
broom	n. 扫帚；金雀花；飞天扫帚（出自《哈利·波特》）vt. 扫除vi. 桩顶开花或开裂n. （Broom）（英）布鲁姆（人名）
brother	n. 兄弟；同事；战友int. 我的老兄！n. (Brother)人名；(英)布拉泽
brow	n. 眉，眉毛；额；表情n. (Brow)人名；(西)布劳
